Age,Avg of Charges,,BMI,Average of Charges,,No. of children,Average of Charges,,,,,,,,,,,,,,,
,,,40.47,1984,,,,,,,,,,,,,,,,,,
,,,40.48,13831,,,,,,,,,,,,,,,,,,
,,,40.5,1759,,,,,,,,,,,,,,,,,,
,,,40.565,33542,,,,,,,,,,,,,,,,,,
,,,40.66,9876,,,,,,,,,,,,,,,,,,
,,,40.81,12486,,,,,,,,,,,,,,,,,,
,,,40.92,48674,,,,,,,,,,,,,,,,,,
,,,40.945,11566,,,,,,,,,,,,,,,,,,
,,,41.1,3990,,,,,,,,,,,,,,,,,,
,,,41.14,25059,,,,,,,,,,,,,,,,,,
,,,41.23,8822,,,,,,,,,,,,,,,,,,
,,,41.325,13695,,,,,,,,,,,,,,,,,,
,,,41.42,28477,,,,,,,,,,,,,,,,,,
,,,41.47,11296,,,,,,,,,,,,,,,,,,
,,,41.69,5439,,,,,,,,,,,,,,,,,,
,,,41.8,26466,,,,,,,,,,,,,,,,,,
,,,41.895,43753,,,,,,,,,,,,,,,,,,
,,,41.91,12386,,,,,,,,,,,,,,,,,,
,,,42.13,24162,,,,,,,,,,,,,,,,,,
,,,42.24,38793,,,,,,,,,,,,,,,,,,
,,,42.35,46151,,,,,,,,,,,,,,,,,,
,,,42.4,5038,,,,,,,,,,,,,,,,,,
,,,42.46,11327,,,,,,,,,,,,,,,,,,
,,,42.655,5757,,,,,,,,,,,,,,,,,,
,,,42.68,9801,,,,,,,,,,,,,,,,,,
,,,42.75,40904,,,,,,,,,,,,,,,,,,
,,,42.9,26000,,,,,,,,,,,,,,,,,,
,,,42.94,6361,,,,,,,,,,,,,,,,,,
,,,43.01,1149,,,,,,,,,,,,,,,,,,
,,,43.12,4754,,,,,,,,,,,,,,,,,,
,,,43.34,5847,,,,,,,,,,,,,,,,,,
,,,43.4,12574,,,,,,,,,,,,,,,,,,
,,,43.7,11576,,,,,,,,,,,,,,,,,,
,,,43.89,27573,,,,,,,,,,,,,,,,,,
,,,44,13064,,,,,,,,,,,,,,,,,,
,,,44.22,4130,,,,,,,,,,,,,,,,,,
,,,44.7,11412,,,,,,,,,,,,,,,,,,
,,,44.745,9542,,,,,,,,,,,,,,,,,,
,,,44.77,9059,,,,,,,,,,,,,,,,,,
,,,44.88,39723,,,,,,,,,,,,,,,,,,
,,,45.32,8570,,,,,,,,,,,,,,,,,,
,,,45.43,6356,,,,,,,,,,,,,,,,,,
,,,45.54,42112,,,,,,,,,,,,,,,,,,
,,,45.9,3693,,,,,,,,,,,,,,,,,,
,,,46.09,9550,,,,,,,,,,,,,,,,,,
,,,46.2,45863,,,,,,,,,,,,,,,,,,
,,,46.53,4683,,,,,,,,,,,,,,,,,,
,,,46.7,11538,,,,,,,,,,,,,,,,,,
,,,46.75,12593,,,,,,,,,,,,,,,,,,
,,,47.41,63770,,,,,,,,,,,,,,,,,,
,,,47.52,8084,,,,,,,,,,,,,,,,,,
,,,47.6,46114,,,,,,,,,,,,,,,,,,
,,,47.74,9749,,,,,,,,,,,,,,,,,,
,,,48.07,9433,,,,,,,,,,,,,,,,,,
,,,49.06,11381,,,,,,,,,,,,,,,,,,
,,,50.38,2438,,,,,,,,,,,,,,,,,,
,,,52.58,44501,,,,,,,,,,,,,,,,,,
,,,53.13,1163,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
